
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	1.292399	141.253906	141.252197	1448.405029	1448.403076	2	2	1.558623	2451.968018	2451.958008	4031.373047	4031.371094	00002	f	1970-01	49.315753	1
2	1	0.419540	6539.940186	6539.937988	6975.615967	6975.614014	2	2	0.729433	7979.353027	7979.335205	8719.371094	8719.367920	00002	f	1970-01	49.315753	0
3	1	0.599385	11240.015137	11240.013184	11855.512207	11855.509033	2	2	1.342511	12858.596191	12858.588135	14215.371094	14215.369141	00002	f	1970-01	49.315753	0
4	1	0.579937	16723.413086	16723.411133	17319.433105	17319.431152	2	1	0.675856	18321.204102	18321.197021	19015.456055	19015.454102	00002	f	1970-01	49.315753	1
5	1	0.652039	21524.277100	21524.274170	22191.605225	22191.604248	2	1	0.880672	23200.932129	23200.921143	24103.678955	24103.677002	00002	f	1970-01	49.315753	0
6	1	1.096000	26623.512939	26623.511230	27735.645996	27735.644043	2	1	0.971761	28736.273193	28736.270020	29711.585938	29711.584229	00002	f	1970-01	49.315753	1
7	1	0.647776	32223.499023	32223.497070	32887.525146	32887.521973	2	1	0.765032	33888.021973	33888.019043	34671.550049	34671.549072	00002	f	1970-01	49.315753	0
8	1	0.561226	37190.315918	37190.314209	37767.652100	37767.650146	2	1	0.841751	38774.936035	38774.927246	39631.659180	39631.657227	00002	f	1970-01	49.315753	1
9	1	0.635016	42140.411133	42140.408203	42791.649170	42791.648193	3	2	1.321058	43793.335938	43793.329102	45127.709229	45127.707031	00002	f	1970-01	49.315753	1
10	1	0.583097	47640.373047	47640.370117	48239.728027	48239.712891	3	1	1.502943	49242.372070	49242.357910	50759.666992	50759.666016	00002	f	1970-01	49.315753	1
11	1	0.541669	53273.791992	53273.790283	53831.690186	53831.689209	2	1	1.246155	54832.786133	54832.778076	56087.846191	56087.844238	00002	f	1970-01	49.315753	1
12	2	1.241085	58590.522217	58590.520264	59847.854248	59847.853027	3	1	1.879034	60849.182129	60849.174072	62735.837891	62735.836182	00002	f	1970-01	49.315753	1
13	2	0.607018	65240.625244	65240.623047	65863.908203	65863.906250	2	1	1.126177	66865.394287	66865.381104	67999.893066	67999.892090	00002	f	1970-01	49.315753	1
14	2	0.867622	70524.033203	70524.031006	71407.882080	71407.881104	2	1	0.784231	72408.417969	72408.415039	73207.947998	73207.946045	00002	f	1970-01	49.315753	0
15	2	0.547529	75724.110107	75724.108154	76287.886230	76287.884033	3	1	1.036862	77288.286865	77288.285156	78343.879150	78343.877197	00002	f	1970-01	49.315753	1
16	2	0.566135	80857.494141	80857.491943	81439.875244	81439.873047	3	1	0.918794	82443.058105	82443.049072	83375.900146	83375.899170	00002	f	1970-01	49.315753	1
17	2	0.820776	85890.907959	85890.906250	86727.915039	86727.913086	3	1	0.858896	87729.337891	87729.331055	88600.011230	88600.009033	00002	f	1970-01	49.315753	0
18	2	0.708077	91107.648193	91107.645996	91831.955078	91831.953125	3	1	0.870073	92832.452148	92832.448975	93712.092041	93712.091064	00002	f	1970-01	49.315753	0
19	2	0.959389	96224.517090	96224.514893	97200.003174	97200.001953	2	1	0.935617	98201.071045	98201.064209	99144.001953	99144.000977	00002	f	1970-01	49.315753	0
20	2	0.877990	101657.916992	101657.914062	102552.031006	102552.029297	3	2	0.986125	103553.116211	103553.108887	104544.166992	104544.165283	00002	f	1970-01	49.315753	0
21	1	1.118064	107057.980225	107057.978027	108192.171143	108192.167969	2	1	0.888477	109193.356201	109193.347900	110096.060059	110096.056885	00002	f	1970-01	49.315753	1
22	1	0.535918	112607.943115	112607.939941	113160.093994	113160.092285	3	2	1.465851	114161.338135	114161.329102	115640.175049	115640.174316	00002	f	1970-01	49.315753	0
23	1	0.609966	118158.015137	118158.013184	118784.225098	118784.224121	2	1	0.752486	119792.608154	119792.601074	120560.198975	120560.197998	00002	f	1970-01	49.315753	0
24	1	0.580532	123091.421143	123091.418945	123688.219971	123688.219238	3	1	0.811866	124688.704102	124688.702148	125504.266113	125504.250977	00002	f	1970-01	49.315753	1
25	1	0.599836	128008.155273	128008.152100	128624.243164	128624.241211	2	1	1.287046	129626.733154	129626.717041	130928.228271	130928.227051	00002	f	1970-01	49.315753	1
26	1	0.574437	133441.569092	133441.566895	134032.239014	134032.237061	2	1	0.734968	135033.921143	135033.906006	135776.259033	135776.257080	00002	f	1970-01	49.315753	1
27	1	0.364397	138291.635986	138291.633301	138672.257080	138672.256104	2	1	1.085027	139673.770020	139673.758057	140776.296143	140776.293945	00002	f	1970-01	49.315753	0
28	2	1.148390	143291.868896	143291.867188	144456.329102	144456.327881	3	1	1.037603	145459.774902	145459.767090	146512.336182	146512.333008	00002	f	1970-01	49.315753	1
29	2	0.502960	149025.110107	149025.107178	149544.309082	149544.308105	2	1	0.842245	150545.481934	150545.474121	151400.411133	151400.407959	00002	f	1970-01	49.315753	1
30	2	0.811247	153925.149902	153925.147217	154752.638184	154752.635986	3	1	0.817877	155753.710938	155753.704102	156576.533203	156576.531006	00002	f	1970-01	49.315753	1
31	2	0.523785	159108.588135	159108.586182	159648.637939	159648.636230	3	1	0.758135	160649.858154	160649.850098	161416.417236	161416.414062	00002	f	1970-01	49.315753	1
32	2	0.386887	163925.362061	163925.360107	164328.453125	164328.450928	3	1	1.042826	165329.644043	165329.635254	166384.506104	166384.504150	00002	f	1970-01	49.315753	1
33	2	0.476157	168892.048096	168892.046143	169384.452148	169384.449951	2	1	0.703008	170385.427979	170385.421143	171096.473145	171096.471191	00002	f	1970-01	49.315753	1
34	2	0.447533	173608.905029	173608.903076	174072.569092	174072.567139	2	1	0.748732	175073.641113	175073.633057	175840.556152	175840.552979	00002	f	1970-01	49.315753	1
35	2	0.721451	178358.854004	178358.852295	179096.534180	179096.532227	3	1	0.811853	180097.609131	180097.601074	180920.664062	180920.661133	00002	f	1970-01	49.315753	0
36	1	0.822720	183425.712158	183425.709961	184264.542236	184264.540039	2	1	0.595698	185265.749023	185265.741211	185872.613037	185872.610107	00002	f	1970-01	49.315753	0
37	1	1.264778	188377.531982	188377.530029	189656.676025	189656.675049	2	1	0.709326	190657.720215	190657.712891	191384.645996	191384.645020	00002	f	1970-01	49.315753	1
38	1	0.524028	193892.401123	193892.398193	194432.662109	194432.661133	3	1	1.005496	195433.752197	195433.745117	196448.811035	196448.809082	00002	f	1970-01	49.315753	1
39	1	0.489278	198959.140137	198959.137939	199464.671143	199464.667969	3	1	0.669357	200465.795166	200465.786865	201144.835938	201144.834961	00002	f	1970-01	49.315753	1
40	1	0.493287	203659.309082	203659.302002	204168.726074	204168.725098	2	1	0.872709	205169.957031	205169.949951	206048.743896	206048.742188	00002	f	1970-01	49.315753	1
41	1	0.425357	208559.263916	208559.262207	209000.858154	209000.857178	3	1	0.711145	210010.616211	210010.607178	210736.782227	210736.781250	00002	f	1970-01	49.315753	1
42	1	1.629821	213242.845215	213242.843262	214888.755127	214888.754150	2	1	0.603188	215889.725098	215889.718018	216496.819092	216496.817139	00002	f	1970-01	49.315753	1
43	1	0.639140	219009.415283	219009.413086	219664.808105	219664.806152	3	1	0.556205	220665.880127	220665.872070	221232.980957	221232.979004	00002	f	1970-01	49.315753	0
44	1	0.425910	223742.815918	223742.814209	224184.967041	224184.966064	2	1	0.607660	225194.179199	225194.170898	225816.839111	225816.837158	00002	f	1970-01	49.315753	1
45	1	0.394478	228326.300293	228326.297119	228736.895996	228736.895020	2	1	0.865984	229737.228027	229737.226074	230608.993164	230608.991211	00002	f	1970-01	49.315753	0
46	1	1.146487	233126.400879	233126.398193	234289.052002	234289.048096	2	1	0.555034	235289.614014	235289.610107	235849.029053	235849.026855	00002	f	1970-01	49.315753	0
47	2	0.473201	238359.833008	238359.831055	238849.138916	238849.137207	3	1	0.557333	239850.337158	239850.328857	240416.915039	240416.914062	00002	f	1970-01	49.315753	0
48	2	0.330409	242926.378174	242926.376221	243273.015137	243273.014160	2	1	0.724387	244274.499023	244274.487061	245017.137939	245017.136230	00002	f	1970-01	49.315753	1
49	2	0.514388	247526.447021	247526.444092	248057.088135	248057.085938	2	1	0.724975	249058.154053	249058.145996	249801.161133	249801.159180	00002	f	1970-01	49.315753	1
50	2	0.506303	252326.620117	252326.617920	252849.056152	252849.055176	2	1	0.931767	253850.260010	253850.250977	254793.021973	254793.020020	00002	f	1970-01	49.315753	1
51	2	0.339006	257310.031006	257310.028076	257665.209229	257665.207275	3	1	1.315205	258666.769043	258666.757080	259993.116211	259993.114014	00002	f	1970-01	49.315753	1
52	2	0.522884	262510.014160	262510.010986	263049.139160	263049.138184	3	1	0.981414	264050.225098	264050.218262	265041.104248	265041.103271	00002	f	1970-01	49.315753	1
53	2	0.600849	267560.083252	267560.081055	268177.176025	268177.175049	3	1	0.720067	269178.350098	269178.341309	269913.186035	269913.185059	00002	f	1970-01	49.315753	1
54	2	0.446233	272426.816895	272426.815186	272889.288086	272889.286133	2	1	0.706362	273890.356201	273890.349121	274601.293213	274601.292236	00002	f	1970-01	49.315753	1
55	2	0.674797	277110.216309	277110.214111	277801.293213	277801.290039	3	1	0.943009	278802.361084	278802.353271	279753.282227	279753.280029	00002	f	1970-01	49.315753	1
56	1	0.076011	282276.982178	282276.979980	282369.212158	282369.209961	2	1	0.495985	283378.300049	283378.292236	283889.308105	283889.306152	00002	f	1970-01	49.315753	1
57	1	0.503426	286393.680176	286393.677979	286913.355225	286913.353027	2	1	0.737974	287927.569092	287927.566162	288681.299072	288681.298096	00002	f	1970-01	49.315753	1
58	1	0.511341	291193.803955	291193.802246	291721.327148	291721.326172	2	1	0.650622	292722.432129	292722.424072	293377.357910	293377.357178	00002	f	1970-01	49.315753	1
59	1	0.387316	295893.919922	295893.917969	296297.466064	296297.462891	2	1	0.779333	297298.713867	297298.706055	298089.502197	298089.501221	00002	f	1970-01	49.315753	1
60	1	0.319356	300594.681152	300594.679199	300929.479248	300929.477051	3	1	0.609850	301930.680176	301930.671875	302553.414062	302553.412109	00002	f	1970-01	49.315753	0
61	2	0.788548	305060.604980	305060.602051	305865.401123	305865.400146	2	1	0.899788	306866.466064	306866.459229	307777.435059	307777.434082	00002	f	1970-01	49.315753	1
62	2	0.595191	310294.036133	310294.033936	310905.453857	310905.451172	2	1	1.017739	311906.537109	311906.529053	312929.563965	312929.562988	00002	f	1970-01	49.315753	1
63	2	0.541125	315444.189209	315444.186035	316001.497070	316001.496094	2	1	0.718802	317002.477051	317002.469971	317729.528076	317729.525146	00002	f	1970-01	49.315753	1
64	2	0.749156	320244.270996	320244.268066	321009.552979	321009.551025	3	1	0.774331	322011.928223	322011.920898	322801.592041	322801.589111	00002	f	1970-01	49.315753	1
65	2	0.474473	325310.897217	325310.894043	325801.604004	325801.602295	2	1	0.774741	326802.578125	326802.572021	327585.577148	327585.574219	00002	f	1970-01	49.315753	0
66	1	0.571018	330094.483154	330094.480957	330681.554199	330681.553223	2	1	0.507603	331682.624268	331682.616943	332201.593018	332201.591064	00002	f	1970-01	49.315753	0
67	1	0.897488	345129.537109	345129.528076	346041.674072	346041.672119	2	1	0.580917	347042.864014	347042.855957	347641.776123	347641.773926	00002	f	1970-01	49.315753	0
68	2	0.712144	350161.360107	350161.358154	350889.734131	350889.732178	2	1	0.882409	351890.809082	351890.802246	352777.750977	352777.750000	00002	f	1970-01	49.315753	0
69	2	0.970875	355294.644287	355294.642090	356281.775146	356281.772217	2	2	0.827504	357282.849121	357282.842041	358121.864014	358121.862061	00002	f	1970-01	49.315753	0
70	1	0.717645	360628.183105	360628.181152	361361.941162	361361.938965	3	1	0.648052	362363.148926	362363.141113	363025.782227	363025.781006	00002	f	1970-01	49.315753	1
71	1	0.568992	365544.749023	365544.747070	366130.012207	366130.010254	2	1	0.808714	367146.043213	367146.033936	367969.822021	367969.821045	00002	f	1970-01	49.315753	0
72	1	1.667491	370478.269043	370478.267090	372161.881104	372161.879150	3	1	0.648119	373163.463135	373163.455078	373825.984131	373825.983154	00002	f	1970-01	49.315753	1
73	1	0.592781	376344.913086	376344.911133	376953.938965	376953.937012	3	1	0.718904	377955.016113	377955.008057	378681.879150	378681.877197	00002	f	1970-01	49.315753	0
74	2	1.790688	381197.364258	381197.361084	383001.915039	383001.914062	2	1	0.510360	384003.437988	384003.426025	384521.945068	384521.944092	00002	f	1970-01	49.315753	0
75	2	0.380616	387045.156982	387045.154053	387441.939209	387441.937988	3	2	0.732508	388443.011963	388443.004150	389193.961182	389193.958984	00002	f	1970-01	49.315753	1
76	2	0.441948	391711.885986	391711.884033	392169.984131	392169.980957	2	2	0.750724	393171.050049	393171.041992	393930.049072	393930.048096	00002	f	1970-01	49.315753	1
77	2	1.252653	396445.297119	396445.295166	397714.105225	397714.103027	2	2	0.593881	398715.273193	398715.265137	399322.093994	399322.092041	00002	f	1970-01	49.315753	1
78	2	0.533512	401828.614014	401828.612061	402378.389160	402378.386963	3	2	0.631131	403380.118164	403380.106934	404026.122070	404026.121094	00002	f	1970-01	49.315753	1
79	2	0.640588	406545.468262	406545.466064	407202.187988	407202.186279	3	2	0.741168	408203.359131	408203.351074	408954.204102	408954.201904	00002	f	1970-01	49.315753	0
80	1	1.323741	411462.211182	411462.208984	412802.168213	412802.166992	3	2	0.893070	413803.264160	413803.256104	414706.239990	414706.238037	00002	f	1970-01	49.315753	0
81	1	0.301851	417212.218994	417212.216309	417530.267090	417530.265137	2	1	0.641158	418531.481201	418531.472900	419186.308105	419186.306885	00002	f	1970-01	49.315753	0
82	1	0.434418	421695.712158	421695.709961	422146.237305	422146.236084	3	2	1.944419	423147.357910	423147.350098	425106.329102	425106.328125	00002	f	1970-01	49.315753	0
83	1	0.501663	427612.322998	427612.321289	428130.218994	428130.218018	2	1	0.753034	429131.295898	429131.288086	429898.331055	429898.330078	00002	f	1970-01	49.315753	0
84	2	0.837747	432412.591064	432412.588135	433266.368164	433266.366943	2	1	1.139524	434267.884033	434267.871094	435418.286133	435418.285156	00002	f	1970-01	49.315753	0
85	2	0.665013	437929.245117	437929.242188	438610.409180	438610.408203	2	2	0.549579	439614.118164	439614.105957	440178.430176	440178.427002	00002	f	1970-01	49.315753	1
86	2	0.426359	442695.864014	442695.862061	443138.458984	443138.458008	2	2	1.255159	444139.454102	444139.447021	445402.503906	445402.503174	00002	f	1970-01	49.315753	1
87	2	0.241583	447912.596924	447912.594238	448170.419922	448170.418945	2	2	0.591294	449170.903076	449170.900146	449770.494141	449770.493164	00002	f	1970-01	49.315753	1
88	2	0.378902	452279.456299	452279.453125	452674.469971	452674.468018	3	2	0.994677	453675.461182	453675.452881	454674.485107	454674.482178	00002	f	1970-01	49.315753	0
89	1	0.630844	457179.519043	457179.517090	457826.482178	457826.481201	2	2	0.660777	458827.230957	458827.226074	459506.552002	459506.551025	00002	f	1970-01	49.315753	0
90	1	0.229426	462012.759033	462012.756104	462258.426025	462258.425049	2	2	1.347379	463264.177246	463264.168945	464626.554932	464626.553223	00002	f	1970-01	49.315753	0
91	1	1.016791	467131.424072	467131.422119	468162.564209	468162.562256	2	1	0.711305	469163.946045	469163.938965	469890.527100	469890.525146	00002	f	1970-01	49.315753	0
92	2	0.710120	472396.357178	472396.354980	473122.606201	473122.604248	3	2	0.761039	474123.675049	474123.666992	474890.552002	474890.551025	00002	f	1970-01	49.315753	0
93	2	0.094297	477396.433105	477396.430908	477506.862061	477506.859131	3	1	0.937665	478508.112061	478508.103271	479450.611084	479450.608154	00002	f	1970-01	49.315753	0
94	1	0.671364	481963.163086	481963.161133	482650.740234	482650.738037	3	2	1.156035	483651.917969	483651.909180	484818.820068	484818.818115	00002	f	1970-01	49.315753	1
95	1	0.904773	487329.858154	487329.855957	488250.833984	488250.832031	2	2	1.018884	489252.037109	489252.029053	490282.693115	490282.691895	00002	f	1970-01	49.315753	0
96	1	1.837978	492796.641113	492796.638916	494650.739014	494650.738037	2	2	1.435840	495651.145020	495651.143066	497098.760254	497098.759033	00002	f	1970-01	49.315753	1
97	1	0.389222	499613.437012	499613.435059	500018.784180	500018.782227	2	2	0.860681	501031.232178	501031.224121	501907.026123	501907.024170	00002	f	1970-01	49.315753	1
98	1	0.741422	504413.460938	504413.459229	505171.039062	505171.035156	2	2	0.597725	506172.550049	506172.537109	506778.835205	506778.833252	00002	f	1970-01	49.315753	0
99	1	1.065728	509296.916992	509296.915039	510378.848145	510378.847168	3	2	1.790424	511381.771240	511381.757080	513186.922119	513186.921143	00002	f	1970-01	49.315753	0
100	2	0.489770	515696.988037	515696.986084	516202.885254	516202.883057	3	1	0.667877	517203.876953	517203.871094	517882.985107	517882.982910	00002	f	1970-01	49.315753	0
101	2	0.653727	520397.056152	520397.053955	521066.922119	521066.920166	2	2	0.698990	522068.119141	522068.110107	522778.929932	522778.928955	00002	f	1970-01	49.315753	1
102	2	0.465831	525297.131104	525297.128906	525779.076172	525779.073975	2	2	0.678233	526781.656982	526781.649170	527474.949219	527474.946045	00002	f	1970-01	49.315753	1
