
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	0.564683	149.743164	149.739990	729.252197	729.234863	2	2	1.020904	1734.464844	1734.452881	2768.788086	2768.785889	00015	m	1970-01	49.573973	0
2	2	0.902915	5281.663818	5281.662109	6200.864990	6200.862793	3	1	0.658236	7203.218994	7203.209961	7872.878174	7872.875977	00015	m	1970-01	49.573973	1
3	2	0.514795	10381.788086	10381.785889	10912.822021	10912.820068	3	1	0.533517	11914.830078	11914.820068	12464.886963	12464.885010	00015	m	1970-01	49.573973	0
4	2	0.482787	14981.808838	14981.806885	15480.871094	15480.869141	2	2	1.134816	16482.603027	16482.600098	17632.917969	17632.916016	00015	m	1970-01	49.573973	0
5	2	0.924126	20149.363037	20149.359863	21088.942139	21088.941162	3	1	0.590075	22099.183105	22099.176025	22704.931152	22704.928955	00015	m	1970-01	49.573973	1
6	2	0.433428	25215.145996	25215.144043	25664.990967	25664.989014	3	1	2.247370	26665.718994	26665.716064	28928.950195	28928.947998	00015	m	1970-01	49.573973	1
7	1	0.640673	31431.912842	31431.910156	32088.988037	32088.986816	2	2	1.174672	33090.674805	33090.667969	34273.017822	34273.015869	00015	m	1970-01	49.573973	0
8	1	0.554602	36781.980957	36781.979004	37353.000000	37352.999023	2	2	0.995993	38354.701904	38354.687988	39361.089844	39361.088135	00015	m	1970-01	49.573973	0
9	1	0.447213	41865.407959	41865.405029	42329.024170	42329.021973	2	1	1.132540	43330.751953	43330.744141	44481.034912	44481.033203	00015	m	1970-01	49.573973	1
10	1	0.633864	46998.774902	46998.771973	47649.094238	47649.091064	3	1	0.687817	48650.999023	48650.990967	49353.061035	49353.058105	00015	m	1970-01	49.573973	1
11	1	0.599094	51865.508057	51865.505859	52481.057861	52481.054932	3	1	0.758511	53483.988037	53483.979004	54257.145020	54257.144043	00015	m	1970-01	49.573973	1
12	1	0.547123	56765.565918	56765.563965	57329.138916	57329.137939	3	1	0.813118	58329.705078	58329.701904	59145.157959	59145.157227	00015	m	1970-01	49.573973	1
13	1	0.519781	61649.012207	61649.010010	62185.198975	62185.196777	2	1	0.746404	63186.752930	63186.743896	63945.199951	63945.197998	00015	m	1970-01	49.573973	0
14	2	1.503800	66449.183105	66449.178955	67969.294189	67969.292969	3	2	0.979101	68970.392090	68970.383789	69961.293945	69961.292969	00015	m	1970-01	49.573973	0
15	2	0.383145	72465.837891	72465.836182	72865.412842	72865.411133	3	1	0.383039	73866.332031	73866.328857	74265.312012	74265.311035	00015	m	1970-01	49.573973	1
16	2	0.962358	76782.610840	76782.608887	77761.334961	77761.333984	2	1	0.539627	78761.808838	78761.805908	79305.303955	79305.302002	00015	m	1970-01	49.573973	1
17	2	1.048992	81816.102051	81816.099854	82881.385986	82881.383789	2	1	0.614291	83883.951904	83883.943115	84513.391113	84513.390137	00015	m	1970-01	49.573973	0
18	2	0.680972	87016.015137	87016.012939	87713.423096	87713.422119	3	1	0.900948	88714.353027	88714.348145	89633.426025	89633.424072	00015	m	1970-01	49.573973	1
19	2	0.507725	92149.453857	92149.450928	92673.618164	92673.615967	3	1	0.798882	93673.976074	93673.974121	94481.432861	94481.431885	00015	m	1970-01	49.573973	0
