
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	2.594539	141.617920	141.614990	2749.818115	2749.817139	2	2	0.985571	3753.130859	3753.123047	4757.540039	4757.539062	00022	f	1970-01	49.651826	0
2	2	1.260170	7289.232910	7289.229980	8565.520020	8565.519043	3	2	1.032748	9567.544922	9567.537109	10621.545898	10621.545166	00022	f	1970-01	49.651826	1
3	1	0.722193	13139.316895	13139.315186	13877.636963	13877.635986	3	1	0.739679	14879.635010	14879.622803	15629.590088	15629.588135	00022	f	1970-01	49.651826	0
4	2	0.418082	18139.396973	18139.395020	18573.591797	18573.591064	3	2	0.480664	19575.064941	19575.058838	20069.634766	20069.633057	00022	f	1970-01	49.651826	1
5	2	0.536114	22590.218018	22590.215820	23141.683105	23141.681885	3	2	0.458101	24148.146973	24148.144043	24613.722168	24613.719971	00022	f	1970-01	49.651826	1
6	2	0.594018	27139.403076	27139.399902	27749.657959	27749.656006	3	2	0.544701	28751.448975	28751.440918	29301.726074	29301.708984	00022	f	1970-01	49.651826	0
7	1	0.487337	31806.106934	31806.104980	32309.687988	32309.686035	2	1	0.891218	33310.479980	33310.477051	34213.718994	34213.717041	00022	f	1970-01	49.651826	1
8	1	0.578499	36722.927979	36722.925781	37317.723877	37317.722168	2	1	0.546727	38318.958984	38318.951172	38869.702148	38869.699951	00022	f	1970-01	49.651826	0
9	2	0.656620	41372.921875	41372.918945	42045.781982	42045.780762	2	2	0.773116	43047.192139	43047.179932	43829.798828	43829.797852	00022	f	1970-01	49.651826	1
10	2	0.649784	46339.726807	46339.725098	47005.842773	47005.842041	3	2	0.663112	48008.202881	48008.194824	48685.884033	48685.882080	00022	f	1970-01	49.651826	0
11	1	0.495899	51189.851074	51189.848877	51701.979004	51701.978027	2	1	0.467106	52703.702881	52703.695068	53190.046143	53190.045166	00022	f	1970-01	49.651826	1
12	2	0.467274	55706.654053	55706.651855	56190.196045	56190.194092	3	2	0.591756	57191.513916	57191.505859	57798.128174	57798.125977	00022	f	1970-01	49.651826	0
13	1	0.395127	60306.781982	60306.780029	60718.153809	60718.153076	3	2	1.481919	61719.289062	61719.281982	63206.170898	63206.169189	00022	f	1970-01	49.651826	0
14	1	0.858387	65723.710938	65723.707764	66598.228027	66598.226074	2	1	0.847159	67599.837891	67599.828857	68454.304932	68454.303955	00022	f	1970-01	49.651826	0
15	2	0.384431	70973.726074	70973.724121	71374.411133	71374.408936	3	2	0.480274	72375.606934	72375.598877	72870.367920	72870.366943	00022	f	1970-01	49.651826	0
16	1	0.592321	75373.833984	75373.832031	75982.395020	75982.393066	2	1	0.527582	76990.860840	76990.858887	77534.464111	77534.461914	00022	f	1970-01	49.651826	1
