
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	2.302094	367.136200	367.130915	2681.418228	2681.411364	2	1	1.983760	3692.235442	3692.217891	5696.302626	5696.298494	00121	f	1948-07	70.857991	0
2	1	0.818172	8231.499458	8231.491128	9064.932454	9064.922340	3	2	1.195443	10069.421114	10069.405716	11275.197576	11275.194224	00121	f	1948-07	70.857991	1
3	1	0.940889	13797.167124	13797.152481	14754.071216	14754.067821	2	2	0.995241	15755.185313	15755.181624	16758.416380	16758.411935	00121	f	1948-07	70.857991	0
4	1	0.797877	19264.516547	19264.482497	20078.971620	20078.965654	3	2	0.855473	21082.618756	21082.609667	21952.524305	21952.520554	00121	f	1948-07	70.857991	1
5	1	2.220143	24465.023010	24465.012465	26701.357180	26701.351059	2	1	2.643787	27704.198767	27704.189311	30357.979677	30357.975810	00121	f	1948-07	70.857991	1
6	1	0.981040	32864.651099	32864.634904	33862.710169	33862.703538	2	1	1.497759	34863.941252	34863.937859	36379.404064	36379.396107	00121	f	1948-07	70.857991	0
7	1	0.589003	38898.938129	38898.924892	39503.893056	39503.889427	2	1	1.304079	40505.723205	40505.718563	41819.240826	41819.231895	00121	f	1948-07	70.857991	0
8	1	0.571705	44337.565539	44337.526156	44920.397656	44920.390671	2	2	2.039955	45923.060557	45923.056277	47972.078813	47972.074651	00121	f	1948-07	70.857991	1
9	1	1.270065	50483.342755	50483.329964	51769.086157	51769.082772	2	2	1.236180	52772.215665	52772.209515	54019.205615	54019.201942	00121	f	1948-07	70.857991	0
10	2	1.804615	56534.131891	56534.108781	58354.156912	58354.153507	3	1	1.855207	59355.719441	59355.711674	61222.105499	61222.099703	00121	f	1948-07	70.857991	0
11	2	0.087415	63733.433388	63733.405994	63837.895667	63837.889252	3	2	1.272250	64839.642854	64839.635884	66122.335708	66122.331736	00121	f	1948-07	70.857991	1
12	2	0.752763	68634.573119	68634.559579	69402.989535	69402.986425	3	2	0.929096	70405.323552	70405.310998	71346.871422	71346.867890	00121	f	1948-07	70.857991	0
13	2	0.767173	73849.832589	73849.825825	74636.144478	74636.136701	3	2	1.319783	75638.809323	75638.797080	76971.214775	76971.208225	00121	f	1948-07	70.857991	0
14	2	0.783272	79485.558790	79485.540440	80284.864221	80284.858126	2	1	1.183089	81287.238174	81287.231298	82485.282237	82485.276540	00121	f	1948-07	70.857991	1
15	2	1.029704	85003.133427	85003.118670	86047.772104	86047.767143	2	1	0.942565	87048.541999	87048.536099	87994.411047	87994.406181	00121	f	1948-07	70.857991	0
16	2	1.291202	90502.867993	90502.846147	91809.841301	91809.836948	3	2	1.157697	92811.525389	92811.522005	93976.676059	93976.670730	00121	f	1948-07	70.857991	0
